direction,age_group,state,state_name,abbrev,rank_age_specific,rank_all_ages,rank_shift,share_age,share_all,rel_ratio
OUT,18_24,21,Kentucky,KY,34,31,-3,0.008394,0.011529,0.7281
OUT,18_24,22,Louisiana,LA,29,28,-1,0.012426,0.012148,1.0229
OUT,18_24,23,Maine,ME,40,47,7,0.005501,0.004112,1.3376
OUT,18_24,24,Maryland,MD,15,16,1,0.026762,0.023259,1.1506
OUT,18_24,25,Massachusetts,MA,9,13,4,0.032307,0.027447,1.1771
OUT,18_24,26,Michigan,MI,17,18,1,0.023065,0.019873,1.1606
OUT,18_24,27,Minnesota,MN,18,23,5,0.022803,0.016337,1.3958
OUT,18_24,28,Mississippi,MS,35,37,2,0.007509,0.007233,1.0381
OUT,18_24,29,Missouri,MO,23,19,-4,0.017984,0.018762,0.9585
OUT,18_24,30,Montana,MT,42,42,0,0.005388,0.005032,1.0706
OUT,18_24,31,Nebraska,NE,37,38,1,0.007084,0.007136,0.9927
OUT,18_24,32,Nevada,NV,33,27,-6,0.009798,0.012538,0.7815
OUT,18_24,33,New Hampshire,NH,36,40,4,0.007322,0.006051,1.2101
OUT,18_24,34,New Jersey,NJ,7,10,3,0.037445,0.031185,1.2007
OUT,18_24,35,New Mexico,NM,38,35,-3,0.007064,0.008171,0.8645
OUT,18_24,36,New York,NY,4,4,0,0.050418,0.059936,0.8412
OUT,18_24,37,North Carolina,NC,10,8,-2,0.02945,0.03314,0.8886
OUT,18_24,38,North Dakota,ND,48,48,0,0.003653,0.002913,1.2543
OUT,18_24,39,Ohio,OH,13,15,2,0.02712,0.024891,1.0895
OUT,18_24,40,Oklahoma,OK,31,32,1,0.01071,0.010205,1.0495
OUT,18_24,41,Oregon,OR,25,22,-3,0.015559,0.016613,0.9366
OUT,18_24,42,Pennsylvania,PA,6,6,0,0.039423,0.036104,1.0919
OUT,18_24,44,Rhode Island,RI,43,44,1,0.005258,0.004753,1.1064
OUT,18_24,45,South Carolina,SC,22,20,-2,0.018092,0.01821,0.9935
OUT,18_24,46,South Dakota,SD,47,46,-1,0.004108,0.00417,0.9852
OUT,18_24,47,Tennessee,TN,21,17,-4,0.01926,0.021655,0.8894
OUT,18_24,48,Texas,TX,2,3,1,0.066236,0.06557,1.0102
OUT,18_24,49,Utah,UT,24,29,5,0.015661,0.012026,1.3022
OUT,18_24,50,Vermont,VT,50,50,0,0.002929,0.002311,1.2672
OUT,18_24,51,Virginia,VA,8,7,-1,0.033545,0.035075,0.9564
OUT,18_24,53,Washington,WA,12,11,-1,0.027663,0.029399,0.941
OUT,18_24,54,West Virginia,WV,46,43,-3,0.004427,0.004966,0.8915
OUT,18_24,55,Wisconsin,WI,20,24,4,0.020686,0.015491,1.3354
OUT,18_24,56,Wyoming,WY,49,49,0,0.003047,0.002781,1.0955
OUT,25_34,01,Alabama,AL,25,25,0,0.013216,0.012977,1.0184
OUT,25_34,02,Alaska,AK,39,41,2,0.006287,0.005599,1.1229
OUT,25_34,04,Arizona,AZ,15,14,-1,0.024093,0.025651,0.9393
OUT,25_34,05,Arkansas,AR,37,36,-1,0.00768,0.007762,0.9895
OUT,25_34,06,California,CA,1,1,0,0.091056,0.092813,0.9811
OUT,25_34,08,Colorado,CO,11,12,1,0.031867,0.029191,1.0917
OUT,25_34,09,Connecticut,CT,31,26,-5,0.011406,0.012882,0.8854
OUT,25_34,10,Delaware,DE,42,45,3,0.005328,0.004277,1.2459
OUT,25_34,12,Florida,FL,4,2,-2,0.065279,0.070244,0.9293
OUT,25_34,13,Georgia,GA,9,9,0,0.032721,0.031495,1.0389
OUT,25_34,15,Hawaii,HI,33,39,6,0.008662,0.006907,1.2542
OUT,25_34,16,Idaho,ID,35,34,-1,0.00826,0.008375,0.9863
OUT,25_34,17,Illinois,IL,8,5,-3,0.036359,0.040995,0.8869
OUT,25_34,18,Indiana,IN,19,21,2,0.018657,0.018198,1.0252
OUT,25_34,19,Iowa,IA,32,33,1,0.009979,0.010042,0.9938
OUT,25_34,20,Kansas,KS,27,30,3,0.012739,0.011569,1.1011
OUT,25_34,21,Kentucky,KY,26,31,5,0.013204,0.011529,1.1453
OUT,25_34,22,Louisiana,LA,34,28,-6,0.008331,0.012148,0.6858
OUT,25_34,23,Maine,ME,47,47,0,0.00332,0.004112,0.8073
OUT,25_34,24,Maryland,MD,17,16,-1,0.021446,0.023259,0.922
OUT,25_34,25,Massachusetts,MA,10,13,3,0.032428,0.027447,1.1814
OUT,25_34,26,Michigan,MI,18,18,0,0.019119,0.019873,0.9621
OUT,25_34,27,Minnesota,MN,23,23,0,0.013868,0.016337,0.8489
OUT,25_34,28,Mississippi,MS,36,37,1,0.007855,0.007233,1.0859
OUT,25_34,29,Missouri,MO,21,19,-2,0.01815,0.018762,0.9674
OUT,25_34,30,Montana,MT,43,42,-1,0.005186,0.005032,1.0305
OUT,25_34,31,Nebraska,NE,38,38,0,0.006763,0.007136,0.9477
OUT,25_34,32,Nevada,NV,29,27,-2,0.012432,0.012538,0.9916
OUT,25_34,33,New Hampshire,NH,41,40,-1,0.005983,0.006051,0.9888
OUT,25_34,34,New Jersey,NJ,13,10,-3,0.026814,0.031185,0.8598
OUT,25_34,35,New Mexico,NM,40,35,-5,0.006021,0.008171,0.7368
OUT,25_34,36,New York,NY,3,4,1,0.06549,0.059936,1.0927
OUT,25_34,37,North Carolina,NC,6,8,2,0.036592,0.03314,1.1042
OUT,25_34,38,North Dakota,ND,48,48,0,0.002941,0.002913,1.0097
OUT,25_34,39,Ohio,OH,14,15,1,0.024877,0.024891,0.9994
OUT,25_34,40,Oklahoma,OK,30,32,2,0.011923,0.010205,1.1684
OUT,25_34,41,Oregon,OR,22,22,0,0.015854,0.016613,0.9543
OUT,25_34,42,Pennsylvania,PA,7,6,-1,0.036476,0.036104,1.0103
OUT,25_34,44,Rhode Island,RI,44,44,0,0.004987,0.004753,1.0494
OUT,25_34,45,South Carolina,SC,20,20,0,0.018303,0.01821,1.0051
OUT,25_34,46,South Dakota,SD,46,46,0,0.004304,0.00417,1.0322
OUT,25_34,47,Tennessee,TN,16,17,1,0.022927,0.021655,1.0587
OUT,25_34,48,Texas,TX,2,3,1,0.068282,0.06557,1.0414
OUT,25_34,49,Utah,UT,24,29,5,0.013402,0.012026,1.1145
OUT,25_34,50,Vermont,VT,49,50,1,0.002337,0.002311,1.0112
OUT,25_34,51,Virginia,VA,5,7,2,0.037794,0.035075,1.0775
